;query;node_id;position_node;node_content;node_score;chunk_size
0;What does collect() function do in pyspark?;fd6b8eb0-b153-466e-b595-c9ac21fcb9d9;1;"0 |string_test_3|
+-------+-------+-------+-------------+
Now, let’s take a look at the collect statement.
Collecting the data
A collect statement is used when we want to get all the data that is being processed in different clusters 
back to the driver. When using a collect statement, we need to make sure that the driver has enough 
memory to hold the processed data. If the driver doesn’t have enough memory to hold the data, we 
will get out-of-memory errors.
This is how you show the collect statement:
data_df.collect()
This statement will then show result as follows:
[Row(col_1=100, col_2=200.0, col_3='string_test_1', col_4=datetime.
date(2023, 1, 1), col_5=datetime.datetime(2023, 1, 1, 12, 0)),

Collecting the data

 Row(col_1=200, col_2=300.0, col_3='string_test_2', col_4=datetime.
date(2023, 2, 1), col_5=datetime.datetime(2023, 1, 2, 12, 0)),
 Row(col_1=300, col_2=400.0, col_3='string_test_3', col_4=datetime.";0.5789967044305022;300
1;What does collect() function do in pyspark?;1de351d3-d995-48ea-bdbd-be905cc5224d;2;"SQL Queries in Spark

The resulting data are stored in the “filtered_data” variable and displayed using the show() method.
In this section, we explored the process of executing SQL queries and applying transformations using 
Spark SQL. We learned about the syntax for executing SQL queries and demonstrated practical examples 
of executing queries, filtering data, performing aggregations, and sorting data. By leveraging the 
expressive power of SQL and the flexibility of Spark SQL, you can efficiently analyze and manipulate 
structured data for a wide range of data analysis tasks.
Grouping and aggregating data – grouping data based on 
specific columns and performing aggregate functions
In Spark SQL, grouping and aggregating data are common operations that are performed to gain 
insights and summarize information from large datasets. This section will explore how to group data 
based on specific columns and perform various aggregate functions using Spark SQL. We will walk 
through code examples that demonstrate the capabilities of Spark SQL in this regard.
Grouping data
When we want to group data based on specific columns, we can utilize the GROUP BY clause in 
SQL queries. Let’s consider an example where we have a DataFrame of employees with the columns 
department and salary.";0.5153409078501269;300
2;What does collect() function do in pyspark?;0a659628-ee44-437a-8497-192a55f19d96;3;"It is an immutable distributed 
collection of objects that represent a set of records. RDDs are distributed across a number of servers, 
and they are computed in parallel across multiple cluster nodes. RDDs can be generated with code. 
When we read data from an external storage location into Spark, RDDs hold that data. This data can 
be shared across multiple clusters and can be computed in parallel, thus giving Spark a very efficient 
way of running computations on RDD data. RDDs are loaded in memory for processing; therefore, 
loading to and from memory computations is not required, unlike Hadoop.
RDDs are fault-tolerant. This means that if there are failures, RDDs have the ability to self-recover. 
Spark achieves that by distributing these RDDs to different worker nodes while keeping in view what 
task is performed by which worker node. This handling of worker nodes is done by the Spark driver. 
We will discuss this in detail in upcoming chapters.
RDDs give a lot of power to Spark in terms of resilience and fault-tolerance. This capability, along with 
other features, makes Spark the tool of choice for any production-grade applications.

Understanding Apache Spark and Its Applications

Multiple language support
Spark supports multiple languages for development such as Java, R, Scala, and Python. This gives 
users the flexibility to use any language of choice to build applications in Spark.";0.5084732343686763;300
3;What does collect() function do in pyspark?;24260b74-c2ae-4677-a3ae-25213cb486ff;4;"date(2023, 1, 1), col_5=datetime.datetime(2023, 1, 1, 12, 0))]
In this example, we’re only returning the first element of the DataFrame by giving 1 as an argument 
value to the head() function. Therefore, only one row is returned in the result.
Now, let’s take a look at how we can count the number of rows in a DataFrame.
Counting the number of rows of data
When we just need to count the number of rows in a DataFrame, we would use the following:
data_df.count()
As a result, you will see the total count of rows in a DataFrame:

In PySpark, several methods are available for retrieving data from a DataFrame or RDD, each with 
its own characteristics and use cases. Here’s a summary of the major differences between take, collect, 
show, head, and tail that we used earlier in this section for data retrieval.
take(n)
This function returns an array containing the first n elements from the DataFrame or RDD
•	 It is useful for quickly inspecting a small subset of the data
•	 It performs a lazy evaluation, meaning it only computes the required number of elements
collect()
This function retrieves all elements from the DataFrame or RDD and returns them as a list
•	 It should be used with caution as it brings all data to the driver node,";0.5051734234802826;300
4;What does collect() function do in pyspark?;6f3cc38b-75b9-4611-ba39-a741866ffa85;5;"This would return a DataFrame or RDD when it is triggered by an action.
Actions and computation execution
Actions (for example, collect, count, and saveAsTextFile) prompt the execution of 
transformations on RDDs. Execution is triggered by actions only, not by transformations. When an 
action is called, this is when Spark starts execution on the DAG it created during the analysis phase of 
code. With the DAG created, Spark creates multiple query plans based on its internal optimizations. 
Then, it executes the plan that is the most efficient and cost-effective. We will discuss query plans 
later in this book.
Here are some of the operations that can be classified as actions:
•	 show()
•	 take()
•	 count()
•	 collect()
•	 save()
•	 foreach()
•	 first()

Spark Architecture and Transformations

All of these operations would result in Spark triggering code execution and thus operations are run.
Let’s take a look at the following code to understand these concepts better:
# Python
>>> df = spark.read.text(""{path_to_data_file}"")
>>> names_df = df.select(col(""firstname""),col(""lastname""))
>>> names_df.show()
In the preceding code, until line 2, nothing would be executed. On line 3, an action is triggered and 
thus it triggers the whole code execution.";0.4997278158200282;300
5;What is the role of the Driver component?;17da1914-6e56-40dc-9263-f34e4ef05611;1;"Now that you understand the execution hierarchy, let’s discuss each of Spark’s components in detail.
Spark components
Let’s dive into the inner workings of each Spark component to understand how each of them plays a 
crucial role in empowering efficient distributed data processing.
Spark driver
The Spark driver is the core of the intelligent and efficient computations in Spark. Spark follows an 
architecture that is commonly known as the master-worker architecture in network topology. Consider 
the Spark driver as a master and Spark executors as slaves. The driver has control and knowledge of 
all the executors at any given time. It is the responsibility of the driver to know how many executors 
are present and if any executor has failed so that it can fall back on its alternative. The Spark driver 
also maintains communication with executors all the time. The driver runs on the master node of a 
machine or cluster. When a Spark application starts running, the driver keeps up with all the required 
information that is needed to run the application successfully.
As shown in Figure 3.1, the driver node contains SparkSession, which is the entry point of the 
Spark application. Previously, this was known as the SparkContext object, but in Spark 2.0, 
SparkSession handles all contexts to start execution. The application’s main method runs on the 
driver to coordinate the whole application.";0.5346182773643599;300
6;What is the role of the Driver component?;238a0477-93a5-44e7-8e55-2dcd3b9a33c4;2;"The application’s main method runs on the 
driver to coordinate the whole application. It runs on its own Java Virtual Machine (JVM). Spark 
driver can run as an independent process or it can run on one of the worker nodes, depending on 
the architecture.

Spark Architecture and Transformations

The Spark driver is responsible for dividing the application into smaller entities for execution. These 
entities are known as tasks. You will learn more about tasks in the upcoming sections of this chapter. 
The Spark driver also decides what data the executor will work on and what tasks are run on which 
executor. These tasks are scheduled to run on the executor nodes with the help of the cluster manager. 
This information that is driven by the driver enables fault tolerance. Since the driver has all the 
information about the number of available workers and the tasks that are running on each of them 
alongside data in case a worker fails, that task can be reassigned to a different cluster. Even if a task is 
taking too long to run, it can be assigned to another executor if that gets free. In that case, whichever 
executor returns the task earlier would prevail. The Spark driver also maintains metadata about the 
Resilient Distributed Dataset (RDD) and its partitions.
It is the responsibility of the Spark driver to design the complete execution map.";0.5131978603454662;300
7;What is the role of the Driver component?;8839c43c-3368-4961-ae25-9d4d384c381b;3;"It is the responsibility of the Spark driver to design the complete execution map. It determines which 
tasks run on which executors, as well as how the data is distributed across these executors. This is 
done by creating RDDs internally. Based on this distribution of data, the operations that are required 
are determined, such as transformations and actions that are defined in the program. A DAG is 
created based on these decisions. The Spark driver optimizes the logical plan (DAG) and finds the 
best possible execution strategy for the DAG, in addition to determining the most optimal location for 
the execution of a particular task. These executions are done in parallel. The executors simply follow 
these commands without doing any optimization on their end.
For performance considerations, it is optimal to have the Spark driver work close to the executor. This 
reduces the latency by a great deal. This means that there would be less delay in the response time of 
the processes. Another point to note here is that this is true for the data as well. The executor reading 
the data close to it would have better performance than otherwise. Ideally, the driver and worker nodes 
should be run in the same local area network (LAN) for the best performance.
The Spark driver also creates a web UI for the execution details. This UI is very helpful in determining 
the performance of the application.";0.43254985752966774;300
8;What is the role of the Driver component?;08c32b8d-a5b1-4b35-b118-bc48ee607e48;4;"•	 Apache YARN (Hadoop’s resource manager): Integrated with Spark, YARN enables Spark 
applications to share Hadoop’s cluster resources efficiently.
•	 Apache Mesos (resource sharing platform): Mesos offers efficient resource sharing across 
multiple applications, allowing Spark to run alongside other frameworks.
We will talk more about deployment modes later in this chapter.
Spark executors
Spark executors are the processes that run on the worker node and execute tasks sent by the driver. 
The data is stored in memory primarily but can also be written to disk storage closest to them. Driver 
launches the executors based on the DAG that Spark generates for its execution. Once the tasks have 
finished executing, executors send the results back to the driver.
Since the driver is the main controller of the Spark application, if an executor fails or takes too long to 
execute a task, the driver can choose to send that task over to other available executors. This ensures 
reliability and fault tolerance in Spark. We will read more about this later in this chapter.
It is the responsibility of the executor to read data from external sources that are needed to run the 
tasks. It can also write its partitioned data to the disk as needed. All processing for a task is done by 
the executor.";0.39851925551371786;300
9;What is the role of the Driver component?;33092705-5e17-40e3-afb2-8c575e9ca842;5;"To understand 
Spark’s unique approach, we will have to understand its basic architecture. A deep dive into Spark’s 
architecture and its components will give you an idea of how Spark achieves its ground-breaking 
processing speeds for big data analytics.
In this chapter, you will learn about the following broader topics:
•	 Spark architecture and execution hierarchy
•	 Different Spark components
•	 The roles of the Spark driver and Spark executor
•	 Different deployment modes in Spark
•	 Transformations and actions as Spark operations
By the end of this chapter, you will have valuable insights into Spark’s inner workings and know how 
to apply this knowledge effectively for your certification test.
Spark architecture
In the previous chapters, we discussed that Apache Spark is an open source, distributed computing 
framework designed for big data processing and analytics. Its architecture is built to handle various 
workloads efficiently, offering speed, scalability, and fault tolerance. Understanding the architecture 
of Spark is crucial for comprehending its capabilities in processing large volumes of data.

Spark Architecture and Transformations

The components of Spark architecture work in collaboration to process data efficiently. The following 
major components are involved:
•	 Spark driver
•	 SparkContext
•	 Cluster manager
•	 Worker node
•	 Spark executor
•	 Task
Before we talk about any of these components, it’s important to understand their execution hierarchy 
to know how each component interacts when a Spark program starts.";0.39174991451413493;300
